account_id,amount,iso_currency_code,unofficial_currency_code,category,category_id,date,name,merchant_name,payment_channel,pending,transaction_id,transaction_type,location.address,location.city,location.region,location.postal_code,location.country,location.lat,location.lon,location.store_number
account_0,1183.39,USD,,"['Clothing', 'Apparel']",18173072,7/2/23,Under Armour,Under Armour,in store,FALSE,transaction_0,place,123 Example St,New York,IL,98388,US,,,2368
account_1,1784.93,USD,,"['Travel', 'Airlines']",18209539,5/16/23,JetBlue,JetBlue,in store,FALSE,transaction_1,place,123 Example St,Los Angeles,IL,84121,US,,,2454
account_2,402.09,USD,,"['Clothing', 'Apparel']",17924696,7/12/23,Levi's,Levi's,in store,TRUE,transaction_2,place,123 Example St,Los Angeles,IL,23972,US,,,2229
account_3,1533.83,USD,,"['Technology', 'Electronics']",13803603,3/1/23,Sony,Sony,in store,TRUE,transaction_3,place,123 Example St,Houston,IL,85445,US,,,2959
account_4,1057.01,USD,,"['Clothing', 'Apparel']",14720585,11/20/23,Levi's,Levi's,in store,FALSE,transaction_4,place,123 Example St,San Francisco,CA,76313,US,,,1336
account_5,253.56,USD,,"['Food and Drink', 'Restaurants']",17317991,9/21/23,McDonald's,McDonald's,in store,FALSE,transaction_5,place,123 Example St,Chicago,NY,38796,US,,,1656
account_6,1428.7,USD,,"['Shops', 'Supermarkets and Groceries']",15591856,1/30/24,Target,Target,in store,FALSE,transaction_6,place,123 Example St,Los Angeles,NY,98530,US,,,3243
account_7,299.25,USD,,"['Entertainment', 'Movies']",13105604,10/4/23,Alamo Drafthouse,Alamo Drafthouse,in store,FALSE,transaction_7,place,123 Example St,New York,IL,88465,US,,,262
account_8,141.63,USD,,"['Food and Drink', 'Restaurants']",15017366,5/16/23,Chipotle,Chipotle,in store,FALSE,transaction_8,place,123 Example St,Los Angeles,TX,16976,US,,,2677
account_9,1222.31,USD,,"['Transportation', 'Ride Share']",18010517,11/20/23,Lyft,Lyft,in store,TRUE,transaction_9,place,123 Example St,Los Angeles,IL,28437,US,,,3200
account_0,1680.05,USD,,"['Technology', 'Electronics']",16794688,1/31/24,Microsoft Store,Microsoft Store,in store,FALSE,transaction_10,place,123 Example St,Houston,CA,28847,US,,,71
account_1,815.59,USD,,"['Transportation', 'Ride Share']",14907967,12/4/23,Lyft,Lyft,in store,FALSE,transaction_11,place,123 Example St,Houston,CA,33689,US,,,429
account_2,314.4,USD,,"['Food and Drink', 'Restaurants']",13672309,3/28/23,McDonald's,McDonald's,in store,FALSE,transaction_12,place,123 Example St,Houston,CA,12536,US,,,2241
account_3,224.22,USD,,"['Entertainment', 'Movies']",18378378,2/17/23,Alamo Drafthouse,Alamo Drafthouse,in store,FALSE,transaction_13,place,123 Example St,San Francisco,NY,20405,US,,,2205
